cartodb_id,munichways_id,mapillary_img_id,mapillary_link
524,LHM-Nord.BA12.524,null,https://www.mapillary.com/map/im/null
523,LHM-Nord.BA12.523,null,https://www.mapillary.com/map/im/null
522,LHM-Ost.BA13.522,null,https://www.mapillary.com/map/im/null
518,LHM-Süd.BA07.518,wOJS9B_liDVYG1P9rHUb6g,https://www.mapillary.com/map/im/wOJS9B_liDVYG1P9rHUb6g
517,LHM-Süd.BA07.517,qMkisay4QIzCiVEyO_mUdw,https://www.mapillary.com/map/im/qMkisay4QIzCiVEyO_mUdw
516,LHM-Süd.BA07.516,kQFoBRpuDIV6eCCM8Z2ARN,https://www.mapillary.com/map/im/kQFoBRpuDIV6eCCM8Z2ARN
515,LHM-Süd.BA07.515,4gc2oY70OKrvANev7wPeAf,https://www.mapillary.com/map/im/4gc2oY70OKrvANev7wPeAf
512,LHM-Mitte.BA02.512,8Jp4QzF_EMCg5abatolg4g,https://www.mapillary.com/map/im/8Jp4QzF_EMCg5abatolg4g
506,LHM-Ost.BA16.506,m9EpthPm9HQxvUzmB3p4BA,https://www.mapillary.com/map/im/m9EpthPm9HQxvUzmB3p4BA
503,LHM-Ost.BA17.503,2WMRL1tQcTzsarJDD58Xdi,https://www.mapillary.com/map/im/2WMRL1tQcTzsarJDD58Xdi
502,LHM-Mitte.BA01.502,wQM5pKtAu3e94Rn9Qmn8Fx,https://www.mapillary.com/map/im/wQM5pKtAu3e94Rn9Qmn8Fx
500,LHM-West.BA09.500,OKHDs5NfEYHWUSpdgq-kow,https://www.mapillary.com/map/im/OKHDs5NfEYHWUSpdgq-kow
499,LHM-West.BA09.499,KUkTNB1YIthP1yRFtLA7ag,https://www.mapillary.com/map/im/KUkTNB1YIthP1yRFtLA7ag
498,LHM-Ost.BA17.498,0vH0l05GpG7f9WeYiEOifb,https://www.mapillary.com/map/im/0vH0l05GpG7f9WeYiEOifb
497,LHM-West.BA25.497,IQ7uyiIzfrpo2dB3Sy01Eg,https://www.mapillary.com/map/im/IQ7uyiIzfrpo2dB3Sy01Eg
491,RV-Bavariaradweg.001b,n7e9dk63ndLqENHC9SLrAg,https://www.mapillary.com/map/im/n7e9dk63ndLqENHC9SLrAg
486,LHM-Nord.BA24.486,7yhpmm2bC1lOoAxEKphpYA,https://www.mapillary.com/map/im/7yhpmm2bC1lOoAxEKphpYA
485,LHM-Nord.BA24.485,joeowBgTS1ToosUNg-qqGQ,https://www.mapillary.com/map/im/joeowBgTS1ToosUNg-qqGQ
484,LHM-Nord.BA24.484,74bkEgdo5Mo82RMA3wlctQ,https://www.mapillary.com/map/im/74bkEgdo5Mo82RMA3wlctQ
483,LHM-Nord.BA24.483,ZM3a9uvoFHwwPzkdRTD1zQ,https://www.mapillary.com/map/im/ZM3a9uvoFHwwPzkdRTD1zQ
482,LHM-Nord.BA24.482,null,https://www.mapillary.com/map/im/null
481,LHM-Nord.BA10.481,null,https://www.mapillary.com/map/im/null
480,LHM-Mitte.BA08.480,aw1nf2L64qRs3PbZBi2tLQ,https://www.mapillary.com/map/im/aw1nf2L64qRs3PbZBi2tLQ
479,LHM-West.BA09.479,NWsLy1qgSNseG0lZN8DCtg,https://www.mapillary.com/map/im/NWsLy1qgSNseG0lZN8DCtg
477,LHM-West.BA09.477,x9_Ws_IUb7SpGsA1t7gb3Q,https://www.mapillary.com/map/im/x9_Ws_IUb7SpGsA1t7gb3Q
476,LHM-West.BA09.476,T9ZgGu6Jc4PumFnxJSC0wA,https://www.mapillary.com/map/im/T9ZgGu6Jc4PumFnxJSC0wA
474,LHM-Süd.BA06.474,4aMm4baYiu_8KNddNYDg9g,https://www.mapillary.com/map/im/4aMm4baYiu_8KNddNYDg9g
473,LHM-Süd.BA06.473,DK_fmF-6Sg4xUX4SU7gMtA,https://www.mapillary.com/map/im/DK_fmF-6Sg4xUX4SU7gMtA
472,LHM-Süd.BA07.472,null,https://www.mapillary.com/map/im/null
470,RV-Bavariaradweg.004,kS6OJEc0de3SBOiZgbAnH9,https://www.mapillary.com/map/im/kS6OJEc0de3SBOiZgbAnH9
464,LHM-Mitte.BA02.464,null,https://www.mapillary.com/map/im/null
463,LHM-Mitte.BA02.463,X5CSqyTLHSgw_6i8gggxDw,https://www.mapillary.com/map/im/X5CSqyTLHSgw_6i8gggxDw
461,LHM-Mitte.BA02.461,QoResA71M2cB0oa35ffqJw,https://www.mapillary.com/map/im/QoResA71M2cB0oa35ffqJw
460,LHM-Süd.BA07.460,null,https://www.mapillary.com/map/im/null
458,LHM-Nord.BA11.458,WCNftoJsWhkxoJefA-3nMw,https://www.mapillary.com/map/im/WCNftoJsWhkxoJefA-3nMw
